month,value,r1_value,r4_value,r6_value,r8_value,r12_value
1,15028,29740.0,21133.0,22893.0,18019.0,15136.0
2,17977,15028.0,22591.0,23739.0,19227.0,16733.0
3,20008,17977.0,26786.0,21133.0,22893.0,20016.0
4,21354,20008.0,29740.0,22591.0,23739.0,17708.0
5,19498,21354.0,15028.0,26786.0,21133.0,18019.0
6,22125,19498.0,17977.0,29740.0,22591.0,19227.0
7,25817,22125.0,20008.0,15028.0,26786.0,22893.0
8,28779,25817.0,21354.0,17977.0,29740.0,23739.0
9,20960,28779.0,19498.0,20008.0,15028.0,21133.0
10,22254,20960.0,22125.0,21354.0,17977.0,22591.0
11,27392,22254.0,25817.0,19498.0,20008.0,26786.0
12,29945,27392.0,28779.0,22125.0,21354.0,29740.0
1,16933,29945.0,20960.0,25817.0,19498.0,15028.0
2,17892,16933.0,22254.0,28779.0,22125.0,17977.0
3,20533,17892.0,27392.0,20960.0,25817.0,20008.0
4,23569,20533.0,29945.0,22254.0,28779.0,21354.0
5,22417,23569.0,16933.0,27392.0,20960.0,19498.0
6,22084,22417.0,17892.0,29945.0,22254.0,22125.0
7,26580,22084.0,20533.0,16933.0,27392.0,25817.0
8,27454,26580.0,23569.0,17892.0,29945.0,28779.0
9,24081,27454.0,22417.0,20533.0,16933.0,20960.0
10,23451,24081.0,22084.0,23569.0,17892.0,22254.0
11,28991,23451.0,26580.0,22417.0,20533.0,27392.0
12,31386,28991.0,27454.0,22084.0,23569.0,29945.0
1,16896,31386.0,24081.0,26580.0,22417.0,16933.0
2,20045,16896.0,23451.0,27454.0,22084.0,17892.0
3,23471,20045.0,28991.0,24081.0,26580.0,20533.0
4,21747,23471.0,31386.0,23451.0,27454.0,23569.0
5,25621,21747.0,16896.0,28991.0,24081.0,22417.0
6,23859,25621.0,20045.0,31386.0,23451.0,22084.0
7,25500,23859.0,23471.0,16896.0,28991.0,26580.0
8,30998,25500.0,21747.0,20045.0,31386.0,27454.0
9,24475,30998.0,25621.0,23471.0,16896.0,24081.0
10,23145,24475.0,23859.0,21747.0,20045.0,23451.0
11,29701,23145.0,25500.0,25621.0,23471.0,28991.0
12,34365,29701.0,30998.0,23859.0,21747.0,31386.0
1,17556,34365.0,24475.0,25500.0,25621.0,16896.0
2,22077,17556.0,23145.0,30998.0,23859.0,20045.0
3,25702,22077.0,29701.0,24475.0,25500.0,23471.0
4,22214,25702.0,34365.0,23145.0,30998.0,21747.0
5,26886,22214.0,17556.0,29701.0,24475.0,25621.0
6,23191,26886.0,22077.0,34365.0,23145.0,23859.0
7,27831,23191.0,25702.0,17556.0,29701.0,25500.0
8,35406,27831.0,22214.0,22077.0,34365.0,30998.0
9,23195,35406.0,26886.0,25702.0,17556.0,24475.0
10,25110,23195.0,23191.0,22214.0,22077.0,23145.0
11,30009,25110.0,27831.0,26886.0,25702.0,29701.0
12,36242,30009.0,35406.0,23191.0,22214.0,34365.0
1,18450,36242.0,23195.0,27831.0,26886.0,17556.0
2,21845,18450.0,25110.0,35406.0,23191.0,22077.0
3,26488,21845.0,30009.0,23195.0,27831.0,25702.0
4,22394,26488.0,36242.0,25110.0,35406.0,22214.0
5,28057,22394.0,18450.0,30009.0,23195.0,26886.0
6,25451,28057.0,21845.0,36242.0,25110.0,23191.0
7,24872,25451.0,26488.0,18450.0,30009.0,27831.0
8,33424,24872.0,22394.0,21845.0,36242.0,35406.0
9,24052,33424.0,28057.0,26488.0,18450.0,23195.0
10,28449,24052.0,25451.0,22394.0,21845.0,25110.0
11,33533,28449.0,24872.0,28057.0,26488.0,30009.0
12,37351,33533.0,33424.0,25451.0,22394.0,36242.0
1,19969,37351.0,24052.0,24872.0,28057.0,18450.0
2,21701,19969.0,28449.0,33424.0,25451.0,21845.0
3,26249,21701.0,33533.0,24052.0,24872.0,26488.0
4,24493,26249.0,37351.0,28449.0,33424.0,22394.0
