C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,C036,C037,C038,C039,C040,C041,C042,C043,C044,C045,C046,C047,C048,C049,C050,C051,C052,C053,C054,C055,C056,C057,C058,C059,C060,C061,C062,C063,C064,C065,C066,C067,C068,C069,C070,C071,C072,C073,C074,C075,C076,C077,C078,C079,C080,C081,C082,C083,C084,C085,C086,C087,C088,C089,C090,C091,C092,C093,C094,C095,C096,weekday,month,trend,MEAN_TMP,MIN_TMP,MAX_TMP
16.18,10.28,12.84,10.18,11.24,10.9,10.86,10.38,10.26,9.76,10.24,10.12,10.28,10.46,10.26,10.14,11.8,9.52,9.68,9.1,9.86,10.84,9.68,11.74,10.52,8.8,10.1,8.32,12.44,11.08,10.0,7.92,9.7,14.0,12.46,12.2,11.84,10.2,9.5,7.88,8.58,11.04,11.0,10.64,9.62,9.44,9.02,7.58,7.98,8.28,13.12,10.26,9.74,8.76,7.78,9.48,9.02,12.58,10.72,9.66,13.08,13.68,12.26,7.14,14.0,7.94,7.86,13.24,8.14,9.4,14.94,13.94,17.94,9.38,10.94,15.06,16.0,19.76,16.66,15.26,13.14,15.8,17.92,20.02,19.38,25.26,29.46,19.56,21.24,21.3,20.3,20.72,22.0,18.28,17.92,21.4,6,9,0,26.5,23.4,31.2
18.38,17.76,16.74,14.3,15.46,15.86,14.48,14.0,14.88,14.38,15.66,13.08,13.58,13.9,14.1,13.82,13.72,15.0,13.42,13.84,14.06,14.32,12.9,13.48,12.5,12.18,19.7,21.48,23.82,34.98,24.1,29.66,65.6,77.54,37.16,58.46,163.92,181.16,183.2,186.84,191.94,183.12,133.62,135.46,140.3,179.44,173.36,166.4,168.78,159.42,120.34,128.22,134.44,146.8,123.22,124.42,97.14,114.5,149.7,114.22,144.02,148.84,174.64,176.44,165.84,166.12,162.84,142.84,115.44,96.62,74.92,70.32,49.5,49.26,30.96,27.2,26.28,25.5,30.68,30.26,25.7,25.1,23.74,29.26,22.24,22.18,24.02,22.28,26.98,38.34,20.66,24.66,27.82,21.56,22.98,24.68,0,9,1,28.1,25.5,32.2
24.94,19.74,21.86,17.12,21.0,32.38,20.38,16.76,16.74,16.92,16.74,16.72,24.04,23.12,16.72,16.04,16.22,16.46,16.78,16.54,16.14,22.76,24.64,17.06,16.36,15.22,16.06,25.88,21.8,15.48,18.46,16.12,43.38,69.6,97.7,171.14,167.8,170.44,180.2,169.44,130.34,152.22,143.28,151.86,150.64,148.44,158.62,148.3,153.9,132.06,119.66,105.3,101.52,114.7,78.44,96.6,97.5,83.06,67.8,83.74,120.58,118.72,132.34,151.16,124.32,102.78,115.48,122.36,85.36,76.12,47.66,47.8,24.12,39.0,21.38,19.62,25.12,28.16,27.36,21.56,27.54,29.76,32.0,25.5,19.1,20.56,17.28,17.64,22.76,20.0,27.94,16.34,15.94,16.24,17.66,15.82,1,9,2,25.9,24.5,28.7
17.06,13.28,13.0,15.12,13.88,13.1,13.38,14.22,13.44,12.54,16.06,19.3,17.5,14.1,13.76,13.94,13.22,13.86,13.36,14.4,14.04,14.1,14.04,13.44,19.86,14.3,28.12,29.8,23.08,29.96,31.28,24.76,32.16,68.24,64.52,102.2,124.76,122.28,136.92,149.54,135.92,121.2,132.34,108.62,104.36,117.54,135.16,137.02,112.34,101.5,91.96,78.04,85.94,78.4,52.64,89.06,71.48,55.38,70.96,89.26,124.16,126.48,129.56,130.12,132.6,114.18,106.68,75.68,84.4,64.06,48.54,46.2,27.3,42.72,44.64,25.88,24.78,16.78,21.04,22.86,14.6,23.86,31.6,27.84,23.98,19.18,20.78,26.74,20.42,17.18,17.06,14.24,20.36,18.76,19.86,16.86,2,9,3,24.7,22.9,26.1
12.3,15.22,11.18,11.08,9.68,12.72,11.28,10.52,10.16,9.94,11.02,10.28,9.86,11.18,10.34,11.26,10.48,9.76,9.58,9.6,10.48,11.12,16.88,10.04,10.14,8.4,8.7,19.88,18.9,28.92,18.96,25.08,47.72,70.82,56.28,110.06,129.32,124.86,119.44,122.06,88.92,94.46,88.46,101.02,92.48,133.24,149.7,132.9,120.74,94.8,99.44,72.32,67.22,77.74,50.58,59.04,58.22,79.66,50.76,67.98,99.0,97.58,92.92,100.36,96.18,107.86,96.02,71.38,68.62,51.6,42.62,35.18,32.22,16.24,25.22,22.64,22.82,22.56,28.24,27.68,20.26,23.32,22.92,20.42,24.7,21.7,21.7,26.38,21.52,12.16,16.66,15.4,19.12,22.28,16.86,11.14,3,9,4,24.5,22.8,26.2
17.42,11.56,12.22,10.6,16.9,10.92,11.86,10.34,10.64,9.9,11.0,11.0,9.22,10.32,9.74,8.6,9.36,10.64,7.64,9.48,8.36,16.24,10.0,9.94,9.64,8.02,9.34,10.5,27.68,19.56,18.78,22.28,38.72,59.24,40.96,93.06,87.54,112.24,117.94,114.3,66.3,85.08,96.2,80.78,91.32,128.3,148.96,136.8,144.18,110.22,102.76,95.9,90.36,123.88,97.0,79.32,84.02,70.78,69.56,89.34,120.7,119.74,139.56,126.08,109.78,121.92,114.02,105.54,86.72,87.12,62.0,36.18,26.82,25.04,18.3,18.42,13.82,16.14,15.96,15.46,12.58,10.9,11.54,15.22,12.9,19.46,16.06,14.94,13.24,16.1,14.96,16.48,14.94,15.02,16.58,15.44,4,9,5,27.0,23.9,30.9
15.58,12.64,13.2,13.32,12.82,12.94,12.76,12.3,13.46,12.48,11.82,11.7,12.58,12.26,12.5,11.8,11.48,11.14,12.3,12.18,11.24,12.2,13.66,12.52,11.7,10.06,14.44,15.98,13.1,10.34,11.06,12.24,13.0,13.94,14.28,10.78,11.22,12.88,12.14,12.12,11.64,11.62,9.76,10.94,10.82,10.32,11.22,9.78,10.64,12.44,14.54,9.04,6.22,6.58,9.16,9.72,12.52,14.44,13.76,13.6,15.14,12.9,12.24,9.02,14.26,10.02,11.14,12.38,7.14,8.9,13.36,9.32,8.22,7.7,11.48,18.76,15.76,15.04,17.66,15.36,11.78,12.5,14.9,11.86,12.48,12.6,15.94,14.72,16.44,17.68,14.74,17.06,16.98,14.66,14.74,15.22,5,9,6,27.9,24.7,32.5
11.6,13.5,12.18,12.16,12.68,13.22,13.04,13.84,13.62,12.9,12.7,12.0,12.82,12.42,12.96,13.04,13.4,15.12,16.1,11.68,11.72,12.36,12.56,12.52,11.66,11.54,12.82,11.74,11.54,14.5,12.22,13.0,13.12,13.06,12.78,14.42,14.28,11.64,11.2,11.68,14.38,14.06,10.82,11.32,9.94,10.54,10.06,10.4,16.58,14.06,13.52,15.06,14.42,14.38,7.16,11.62,8.22,12.38,7.72,11.4,8.14,7.04,9.08,8.98,8.44,8.86,8.9,11.38,9.16,11.34,10.5,7.5,10.56,11.98,11.62,11.82,15.06,16.38,17.06,21.66,17.34,24.52,20.0,20.66,20.26,21.98,25.82,19.26,23.0,21.54,23.38,22.9,26.0,21.14,20.62,15.8,6,9,7,28.5,25.8,32.8
15.18,16.2,16.56,14.96,13.96,14.02,13.88,13.96,14.16,13.86,13.86,13.88,15.0,14.06,14.02,13.8,13.94,13.92,14.22,13.92,13.22,13.82,14.4,14.12,13.6,13.68,20.64,27.96,23.68,29.88,19.36,30.38,54.58,69.68,48.42,68.14,156.34,191.32,199.32,204.1,148.34,140.18,138.66,151.96,134.94,175.34,184.48,169.02,172.24,147.0,159.5,130.3,138.42,150.4,125.92,140.48,119.54,138.46,113.68,107.58,151.96,157.36,152.36,161.46,167.32,148.64,138.08,136.0,108.18,65.04,58.38,30.88,20.12,16.9,19.46,20.02,25.86,24.86,12.78,16.54,17.0,19.12,13.46,13.6,17.66,13.06,20.78,16.96,15.1,19.54,22.54,19.8,22.4,22.3,22.68,21.5,0,9,8,28.6,26.2,32.5
15.26,18.66,17.12,14.74,14.48,15.52,14.96,14.64,14.34,14.56,14.34,14.14,14.44,17.38,13.96,13.96,14.12,14.58,14.38,14.3,14.32,15.38,15.02,14.08,14.42,13.9,13.84,13.86,15.44,13.4,13.96,14.08,17.52,12.32,12.52,12.46,11.84,12.4,12.84,12.8,14.14,15.06,13.38,12.84,13.94,16.84,13.58,12.02,13.04,13.86,13.82,11.52,12.22,12.48,13.7,15.04,18.04,16.34,13.88,13.26,12.68,11.8,9.86,9.88,10.04,10.98,10.08,8.24,11.98,12.66,8.98,9.64,10.24,14.56,11.82,15.6,18.88,16.72,12.94,16.48,17.12,16.22,19.92,17.34,14.46,14.14,19.26,19.46,26.3,23.82,26.72,31.1,21.88,20.54,21.92,17.02,1,9,9,28.4,26.1,33.0
16.86,18.06,17.66,17.6,15.24,14.66,14.88,14.62,15.02,14.76,14.7,14.46,15.04,15.32,14.84,15.2,14.82,15.48,14.48,14.82,14.94,15.16,16.36,16.34,14.34,13.3,29.7,22.0,23.12,25.2,20.68,29.9,38.64,68.98,48.64,154.16,181.68,191.86,176.56,137.12,155.26,142.28,169.08,166.34,172.98,177.1,166.36,173.78,162.74,154.4,158.02,143.54,150.8,166.52,150.06,135.04,135.96,128.82,123.52,137.7,161.3,172.76,187.78,173.04,197.94,201.72,169.44,147.44,135.24,102.86,71.8,69.12,60.12,62.78,53.06,31.04,25.56,27.66,25.4,21.82,25.8,23.12,24.84,20.04,24.32,21.0,18.98,21.86,22.96,25.18,31.04,20.3,21.6,23.22,19.12,20.2,2,9,10,28.5,27.3,32.6
19.7,19.16,19.22,17.46,18.5,18.5,16.5,17.08,16.6,16.2,16.4,16.02,16.72,16.52,16.84,15.78,22.52,15.86,16.98,18.96,18.4,16.62,15.74,16.52,15.84,23.58,15.32,23.82,29.54,21.98,23.68,26.18,51.98,65.74,48.8,131.46,179.54,178.5,166.2,188.2,144.66,152.28,155.9,152.34,165.92,185.46,179.42,175.78,168.56,151.48,139.14,151.14,125.84,147.38,163.3,137.46,116.96,139.1,151.28,130.76,153.92,157.92,175.44,166.22,181.18,196.08,151.74,152.62,146.62,94.24,70.96,76.36,78.58,47.4,47.28,23.54,24.48,21.88,21.54,28.66,16.26,22.48,20.98,20.08,24.76,23.9,23.38,26.02,27.12,24.52,25.82,23.1,21.48,21.3,17.4,18.46,3,9,11,28.9,26.8,32.8
